event_hour,site_id,site_name,event_count,alert_count,avg_temperature_c,avg_battery_pct
2026-05-02 14:00:00,S001,Facility 1,9,1,25.033333333333335,38.5375
2026-05-02 14:00:00,S002,Facility 2,7,0,23.25714285714286,65.68333333333334
2026-05-02 14:00:00,S003,Facility 3,9,0,19.044444444444444,49.0125
2026-05-02 14:00:00,S004,Facility 4,6,0,20.283333333333335,54.52
2026-05-02 14:00:00,S005,Facility 5,4,0,22.4,56.666666666666664
2026-05-02 14:00:00,S006,Facility 6,2,1,18.25,38.099999999999994
2026-05-02 14:00:00,S007,Facility 7,3,0,22.53333333333333,47.05
2026-05-02 14:00:00,S008,Facility 8,6,2,20.75,62.550000000000004
2026-05-02 14:00:00,S009,Facility 9,5,0,19.3,56.8
2026-05-02 14:00:00,S010,Facility 10,3,0,22.5,66.7
2026-05-02 14:00:00,S011,Facility 11,4,0,21.4,32.45
2026-05-02 14:00:00,S012,Facility 12,5,0,18.68,71.68
2026-05-02 14:00:00,S013,Facility 13,3,1,18.866666666666664,35.36666666666667
2026-05-02 14:00:00,S014,Facility 14,1,1,21.5,85.8
2026-05-02 15:00:00,S001,Facility 1,9,1,19.866666666666667,58.27777777777778
2026-05-02 15:00:00,S002,Facility 2,5,0,23.2,29.46
2026-05-02 15:00:00,S003,Facility 3,7,1,22.557142857142857,51.17142857142857
2026-05-02 15:00:00,S004,Facility 4,3,0,22.7,54.0
2026-05-02 15:00:00,S005,Facility 5,3,0,20.533333333333335,37.266666666666666
2026-05-02 15:00:00,S006,Facility 6,2,1,19.0,50.1
2026-05-02 15:00:00,S007,Facility 7,3,1,19.133333333333333,26.666666666666668
2026-05-02 15:00:00,S008,Facility 8,8,0,22.375,40.528571428571425
2026-05-02 15:00:00,S009,Facility 9,9,2,21.41111111111111,63.25555555555555
2026-05-02 15:00:00,S010,Facility 10,6,0,23.0,60.48333333333333
2026-05-02 15:00:00,S011,Facility 11,5,1,23.56,38.239999999999995
2026-05-02 15:00:00,S012,Facility 12,9,2,23.1,44.714285714285715
2026-05-02 15:00:00,S013,Facility 13,8,1,20.375,44.82857142857143
2026-05-02 15:00:00,S014,Facility 14,8,2,23.425,44.375
2026-05-02 16:00:00,S001,Facility 1,12,3,22.5,35.93636363636364
2026-05-02 16:00:00,S002,Facility 2,2,0,22.3,48.25
2026-05-02 16:00:00,S003,Facility 3,4,2,24.3,57.05
2026-05-02 16:00:00,S004,Facility 4,5,0,20.14,64.28
2026-05-02 16:00:00,S005,Facility 5,5,1,22.740000000000002,65.1
2026-05-02 16:00:00,S006,Facility 6,1,1,26.6,67.3
2026-05-02 16:00:00,S007,Facility 7,4,1,14.075,56.9
2026-05-02 16:00:00,S008,Facility 8,6,1,22.95,48.75
2026-05-02 16:00:00,S009,Facility 9,10,1,21.07,41.388888888888886
2026-05-02 16:00:00,S010,Facility 10,6,0,24.066666666666666,55.1
2026-05-02 16:00:00,S011,Facility 11,11,1,21.69090909090909,41.79
2026-05-02 16:00:00,S012,Facility 12,5,1,25.3,35.675000000000004
2026-05-02 16:00:00,S013,Facility 13,5,0,22.580000000000002,50.85
2026-05-02 16:00:00,S014,Facility 14,3,0,23.933333333333334,48.86666666666667
2026-05-02 17:00:00,S001,Facility 1,13,1,20.023076923076925,49.79230769230769
2026-05-02 17:00:00,S002,Facility 2,6,2,22.349999999999998,42.38333333333333
2026-05-02 17:00:00,S003,Facility 3,7,1,21.7,36.885714285714286
2026-05-02 17:00:00,S004,Facility 4,11,1,20.227272727272727,46.11818181818182
2026-05-02 17:00:00,S005,Facility 5,4,2,22.05,63.03333333333333
2026-05-02 17:00:00,S006,Facility 6,4,1,14.975,24.75
2026-05-02 17:00:00,S007,Facility 7,5,1,20.580000000000002,32.72
2026-05-02 17:00:00,S008,Facility 8,7,0,21.514285714285712,56.357142857142854
2026-05-02 17:00:00,S009,Facility 9,4,0,25.075,33.175
2026-05-02 17:00:00,S010,Facility 10,8,0,24.675,39.75714285714286
2026-05-02 17:00:00,S011,Facility 11,11,4,22.099999999999998,33.980000000000004
2026-05-02 17:00:00,S012,Facility 12,4,0,19.725,50.93333333333334
2026-05-02 17:00:00,S013,Facility 13,10,2,19.06,51.575
2026-05-02 17:00:00,S014,Facility 14,5,1,22.28,43.78
2026-05-02 18:00:00,S001,Facility 1,5,1,18.759999999999998,40.45
2026-05-02 18:00:00,S002,Facility 2,4,0,21.325000000000003,34.075
2026-05-02 18:00:00,S003,Facility 3,16,4,19.15,53.0625
2026-05-02 18:00:00,S004,Facility 4,9,2,20.37777777777778,46.65555555555555
2026-05-02 18:00:00,S005,Facility 5,1,0,21.0,
2026-05-02 18:00:00,S006,Facility 6,4,0,19.65,65.45
2026-05-02 18:00:00,S007,Facility 7,9,1,20.6,67.1888888888889
2026-05-02 18:00:00,S008,Facility 8,5,1,21.880000000000003,64.7
2026-05-02 18:00:00,S009,Facility 9,6,0,22.983333333333334,52.65
2026-05-02 18:00:00,S010,Facility 10,10,2,20.56,43.233333333333334
2026-05-02 18:00:00,S011,Facility 11,9,1,22.033333333333335,57.03333333333333
2026-05-02 18:00:00,S012,Facility 12,11,1,19.854545454545455,37.63636363636363
2026-05-02 18:00:00,S013,Facility 13,7,0,20.842857142857145,62.300000000000004
2026-05-02 18:00:00,S014,Facility 14,5,1,15.02,26.339999999999996
2026-05-02 19:00:00,S001,Facility 1,8,0,20.3125,43.96666666666667
2026-05-02 19:00:00,S002,Facility 2,2,0,20.3,27.6
2026-05-02 19:00:00,S003,Facility 3,9,2,18.166666666666668,62.199999999999996
2026-05-02 19:00:00,S004,Facility 4,3,1,17.866666666666667,68.0
2026-05-02 19:00:00,S005,Facility 5,5,0,20.580000000000002,42.86
2026-05-02 19:00:00,S006,Facility 6,7,2,23.357142857142858,73.34285714285714
2026-05-02 19:00:00,S007,Facility 7,5,1,23.82,34.019999999999996
2026-05-02 19:00:00,S008,Facility 8,4,0,25.225,42.7
2026-05-02 19:00:00,S009,Facility 9,14,3,19.407142857142855,41.666666666666664
2026-05-02 19:00:00,S010,Facility 10,8,2,18.7875,51.300000000000004
2026-05-02 19:00:00,S011,Facility 11,8,2,23.3875,54.925
2026-05-02 19:00:00,S012,Facility 12,5,1,19.54,47.88
2026-05-02 19:00:00,S013,Facility 13,7,1,19.657142857142855,29.416666666666668
2026-05-02 19:00:00,S014,Facility 14,8,2,20.65,33.7875
2026-05-02 20:00:00,S001,Facility 1,13,1,20.023076923076925,64.06666666666666
2026-05-02 20:00:00,S002,Facility 2,4,0,20.425,62.65
2026-05-02 20:00:00,S003,Facility 3,10,0,23.130000000000003,46.455555555555556
2026-05-02 20:00:00,S004,Facility 4,9,2,19.822222222222223,33.98888888888889
2026-05-02 20:00:00,S005,Facility 5,4,0,14.725000000000001,59.0
2026-05-02 20:00:00,S006,Facility 6,2,0,19.1,69.2
2026-05-02 20:00:00,S007,Facility 7,6,0,22.083333333333332,76.05
2026-05-02 20:00:00,S008,Facility 8,6,3,19.333333333333332,81.46666666666667
2026-05-02 20:00:00,S009,Facility 9,8,1,20.4625,37.916666666666664
2026-05-02 20:00:00,S010,Facility 10,4,0,24.55,47.85
2026-05-02 20:00:00,S011,Facility 11,9,1,20.755555555555556,56.05555555555556
2026-05-02 20:00:00,S012,Facility 12,7,1,19.342857142857145,62.01428571428572
2026-05-02 20:00:00,S013,Facility 13,3,0,23.03333333333333,27.933333333333337
2026-05-02 20:00:00,S014,Facility 14,5,1,21.34,25.4
2026-05-02 21:00:00,S001,Facility 1,14,2,20.407142857142855,57.81666666666666
2026-05-02 21:00:00,S002,Facility 2,4,0,17.8,47.449999999999996
2026-05-02 21:00:00,S003,Facility 3,12,0,18.608333333333334,49.64166666666667
2026-05-02 21:00:00,S004,Facility 4,4,1,20.425,36.475
2026-05-02 21:00:00,S005,Facility 5,7,1,21.88571428571429,56.385714285714286
2026-05-02 21:00:00,S007,Facility 7,4,0,19.45,39.575
2026-05-02 21:00:00,S008,Facility 8,13,1,17.83076923076923,36.25833333333333
2026-05-02 21:00:00,S009,Facility 9,8,0,21.0875,53.11666666666667
2026-05-02 21:00:00,S010,Facility 10,7,0,21.75714285714286,47.114285714285714
2026-05-02 21:00:00,S011,Facility 11,8,1,22.6,37.128571428571426
2026-05-02 21:00:00,S012,Facility 12,7,0,24.17142857142857,29.566666666666666
2026-05-02 21:00:00,S013,Facility 13,4,1,22.425,70.55
2026-05-02 21:00:00,S014,Facility 14,10,2,23.02,52.67
2026-05-02 22:00:00,S001,Facility 1,7,0,19.52857142857143,48.957142857142856
2026-05-02 22:00:00,S002,Facility 2,3,0,23.46666666666667,30.566666666666663
2026-05-02 22:00:00,S003,Facility 3,14,3,22.22142857142857,46.30833333333334
2026-05-02 22:00:00,S004,Facility 4,3,0,19.8,46.666666666666664
2026-05-02 22:00:00,S005,Facility 5,2,0,14.850000000000001,29.55
2026-05-02 22:00:00,S006,Facility 6,6,2,20.433333333333334,46.78
2026-05-02 22:00:00,S007,Facility 7,2,0,23.950000000000003,19.95
2026-05-02 22:00:00,S008,Facility 8,4,2,16.825000000000003,55.25
2026-05-02 22:00:00,S009,Facility 9,12,3,19.3,43.96666666666667
2026-05-02 22:00:00,S010,Facility 10,7,1,19.542857142857144,60.86666666666667
2026-05-02 22:00:00,S011,Facility 11,6,0,22.21666666666667,34.0
2026-05-02 22:00:00,S012,Facility 12,4,1,20.950000000000003,46.25
2026-05-02 22:00:00,S013,Facility 13,4,1,21.9,82.4
2026-05-02 22:00:00,S014,Facility 14,4,1,21.525,59.6
2026-05-02 23:00:00,S001,Facility 1,8,1,17.6875,31.728571428571428
2026-05-02 23:00:00,S002,Facility 2,4,0,20.1,57.449999999999996
2026-05-02 23:00:00,S003,Facility 3,8,1,20.275,49.3875
2026-05-02 23:00:00,S004,Facility 4,7,2,21.985714285714288,37.766666666666666
2026-05-02 23:00:00,S005,Facility 5,4,0,22.7,67.4
2026-05-02 23:00:00,S006,Facility 6,3,0,17.233333333333334,47.4
2026-05-02 23:00:00,S007,Facility 7,6,1,24.266666666666666,64.85
2026-05-02 23:00:00,S008,Facility 8,5,0,16.84,48.449999999999996
2026-05-02 23:00:00,S009,Facility 9,5,1,22.78,52.839999999999996
2026-05-02 23:00:00,S010,Facility 10,3,0,20.8,15.95
2026-05-02 23:00:00,S011,Facility 11,9,1,21.88888888888889,63.22222222222222
2026-05-02 23:00:00,S012,Facility 12,4,0,19.4,31.775
2026-05-02 23:00:00,S013,Facility 13,9,2,22.366666666666667,43.325
2026-05-02 23:00:00,S014,Facility 14,7,0,21.457142857142856,57.642857142857146
2026-05-03 00:00:00,S001,Facility 1,12,2,22.5,57.29090909090908
2026-05-03 00:00:00,S002,Facility 2,4,0,21.75,44.875
2026-05-03 00:00:00,S003,Facility 3,6,1,21.400000000000002,53.26666666666667
2026-05-03 00:00:00,S004,Facility 4,5,0,17.72,29.75
2026-05-03 00:00:00,S005,Facility 5,3,1,18.066666666666666,52.13333333333333
2026-05-03 00:00:00,S006,Facility 6,2,0,22.05,18.4
2026-05-03 00:00:00,S007,Facility 7,3,1,19.400000000000002,26.033333333333335
2026-05-03 00:00:00,S008,Facility 8,5,0,19.880000000000003,55.1
2026-05-03 00:00:00,S009,Facility 9,7,1,20.914285714285715,51.416666666666664
2026-05-03 00:00:00,S010,Facility 10,14,1,20.521428571428572,69.83076923076922
2026-05-03 00:00:00,S011,Facility 11,9,1,19.177777777777777,48.6
2026-05-03 00:00:00,S012,Facility 12,3,1,22.633333333333336,63.9
2026-05-03 00:00:00,S013,Facility 13,5,0,21.1,33.480000000000004
2026-05-03 00:00:00,S014,Facility 14,6,0,22.71666666666667,39.63333333333333
2026-05-03 01:00:00,S001,Facility 1,5,1,21.7,48.660000000000004
2026-05-03 01:00:00,S002,Facility 2,3,0,25.599999999999998,52.26666666666667
